work_id,work_name,category,mp_name,house,constituency,nodal_district,state,sanctioned_amount,actual_expenditure,contractor_name,latitude,longitude,sanction_date,completion_date,status,is_augmented_case
MPLADS-2023-WRK-1001,"Roads project at Ward 6, North West Delhi",Roads & Drainage,Dr. Harsh Vardhan,Lok Sabha,Chandni Chowk,North West Delhi,Delhi,1983000.0,1758000.0,Bharat Rural Development Enterprises,28.6232,77.2238,2023-03-13,2023-06-24,Completed,False
MPLADS-2023-WRK-1002,"Drinking Water project at Ward 1, Varanasi",Drinking Water & RO Plants,Narendra Modi,Lok Sabha,Varanasi,Varanasi,Uttar Pradesh,478000.0,408000.0,Bharat Rural Development Enterprises,25.3112,82.9698,2023-04-12,2023-08-03,Completed,False
MPLADS-2023-WRK-1003,"Healthcare Equipment project at Ward 39, East Delhi",Healthcare Equipment & Ambulances,Gautam Gambhir,Lok Sabha,East Delhi,East Delhi,Delhi,1941000.0,1731000.0,National Civil Construction Co.,28.5954,77.2627,2023-04-21,2023-06-18,Completed,False
MPLADS-2023-WRK-1004,"Roads project at Ward 37, Bengaluru Urban",Roads & Drainage,Tejasvi Surya,Lok Sabha,Bangalore South,Bengaluru Urban,Karnataka,1959000.0,1823000.0,Bharat Rural Development Enterprises,12.9551,77.6049,2023-07-13,2023-10-21,Completed,False
MPLADS-2023-WRK-1005,"Healthcare Equipment project at Ward 41, Varanasi",Healthcare Equipment & Ambulances,Narendra Modi,Lok Sabha,Varanasi,Varanasi,Uttar Pradesh,988000.0,938000.0,Sunrise Tech & Water Works,25.3469,82.9643,2023-05-29,2023-06-23,In Progress,False
MPLADS-2023-WRK-1006,"Drinking Water project at Ward 11, Mumbai City",Drinking Water & RO Plants,Arvind Sawant,Lok Sabha,Mumbai South,Mumbai City,Maharashtra,391000.0,345000.0,National Civil Construction Co.,18.9475,72.809,2023-05-17,2023-09-13,Completed,False
MPLADS-2023-WRK-1007,"Public Facilities project at Ward 3, New Delhi",Public Facilities & Community Halls,Dr. Subramanian Swamy,Rajya Sabha,Nominated,New Delhi,Delhi,1945000.0,1923000.0,Metro Civic Developers,28.6413,77.2311,2023-10-13,2024-04-08,Completed,False
MPLADS-2023-WRK-1008,"Public Facilities project at Ward 10, Mumbai City",Public Facilities & Community Halls,Arvind Sawant,Lok Sabha,Mumbai South,Mumbai City,Maharashtra,1937000.0,1708000.0,Sunrise Tech & Water Works,18.9512,72.827,2023-10-18,2024-04-25,In Progress,False
MPLADS-2023-WRK-1009,"Drinking Water project at Ward 9, Bengaluru Urban",Drinking Water & RO Plants,Tejasvi Surya,Lok Sabha,Bangalore South,Bengaluru Urban,Karnataka,310000.0,290000.0,Jan Seva Builders,13.0034,77.5866,2023-05-15,2023-08-27,Completed,False
MPLADS-2023-WRK-1010,"Roads project at Ward 25, New Delhi",Roads & Drainage,Dr. Subramanian Swamy,Rajya Sabha,Nominated,New Delhi,Delhi,2012000.0,1970000.0,Urban Green Projects Ltd,28.6373,77.2028,2023-03-20,2023-09-06,Completed,False
